Dataset,Algorithm,Type,Run,Threads,Time,Metric,Best Iteration,Iterations,Eta,Leaves,Depth,Hessian,Subsample,Colsample_bytree,Training RAM 1st,Training RAM 25%,Training RAM 50%,Training RAM 75%,Total RAM,gc RAM
'bosch','xgboost-lossguide','depth',2,5,984.3909,0.7198081,1425,1500,0.02,15,4,1,1,1,3439276032,3445108736,3444846592,3445514240,3447762944,2614317056
'bosch','xgboost-lossguide','depth',3,5,777.2163,0.7214592,977,1000,0.02,31,5,1,1,1,3535028224,3554045952,3544387584,3555176448,3557089280,2686844928
'bosch','xgboost-lossguide','depth',4,5,885.026,0.7223834,723,1000,0.02,63,6,1,1,1,3669925888,3764334592,3765149696,3765481472,3760431104,2829541376
'bosch','xgboost-lossguide','depth',5,5,616.8553,0.7191517,399,500,0.02,127,7,1,1,1,3856093184,3958599680,4102414336,4101517312,4103401472,3031465984
'bosch','xgboost-lossguide','depth',6,5,583.0748,0.7250211,328,400,0.02,255,8,1,1,1,4118630400,4306419712,4491870208,4528693248,4513460224,3260567552
'bosch','xgboost-lossguide','depth',7,5,734.4711,0.7248398,391,400,0.02,511,9,1,1,1,4396158976,4709552128,5006761984,5018890240,5003608064,3523493888
'bosch','xgboost-lossguide','depth',8,5,813.9253,0.7228884,308,400,0.02,1023,10,1,1,1,4738912256,5203595264,5706711040,5708505088,5699723264,3960225792
'bosch','xgboost-lossguide','depth',9,5,968.9202,0.7272562,343,400,0.02,2047,11,1,1,1,5278351360,5801062400,6391402496,6532722688,6529314816,4344565760
'bosch','xgboost-lossguide','depth',10,5,1031.274,0.7256541,338,400,0.02,4095,12,1,1,1,5744979968,6421217280,7224356864,7244517376,7249051648,4679884800
'bosch','xgboost-lossguide','hessian',1,5,841.3001,0.7228884,308,400,0.02,1023,10,1,1,1,2975281152,3439349760,3944505344,3947294720,3959250944,3948929024
'bosch','xgboost-lossguide','hessian',2,5,615.368,0.7250595,325,400,0.02,1023,10,5,1,1,4956913664,5216194560,5596229632,5642493952,5646540800,3455651840
'bosch','xgboost-lossguide','hessian',3,5,558.3288,0.7181565,308,400,0.02,1023,10,25,1,1,4374880256,4551127040,4791623680,4819464192,4813565952,3113893888
'bosch','xgboost-lossguide','hessian',4,5,453.2829,0.7036303,282,400,0.02,1023,10,125,1,1,3971469312,4137873408,4252602368,4253241344,4258258944,2894958592
'bosch','xgboost-lossguide','sampling',1,5,906.7188,0.7234308,684,1000,0.04,63,6,1,1,1,2734886912,2828931072,2829742080,2831249408,2842902528,2826645504
'bosch','xgboost-lossguide','sampling',2,5,814.2727,0.7216269,445,1000,0.04,63,6,1,0.8,1,3765469184,3891351552,3893694464,3894554624,3893084160,2816090112
'bosch','xgboost-lossguide','sampling',3,5,768.2104,0.7219472,552,1000,0.04,63,6,1,0.6,1,3738587136,3864121344,3868368896,3870109696,3895410688,2828906496
'bosch','xgboost-lossguide','sampling',4,5,686.1521,0.7132093,234,1000,0.04,63,6,1,0.4,1,3731574784,3851870208,3848163328,3865579520,3874078720,2796384256
