Dataset,Algorithm,Type,Run,Threads,Time,Metric,Best Iteration,Iterations,Eta,Leaves,Depth,Hessian,Subsample,Colsample_bytree
'bosch','xgboost-lossguide','leaves',1,8,405.661415283203,0.712459216929,1995,2000,0.02,7,0,1,1,1
'bosch','xgboost-lossguide','leaves',2,8,378.307908447266,0.721185332723,1462,1500,0.02,15,0,1,1,1
'bosch','xgboost-lossguide','leaves',3,8,247.667032958984,0.723785790557,426,750,0.02,31,0,1,1,1
'bosch','xgboost-lossguide','leaves',4,8,242.187528320313,0.726102716238,405,500,0.02,63,0,1,1,1
'bosch','xgboost-lossguide','leaves',5,8,305.354002685547,0.728068437439,314,400,0.02,127,0,1,1,1
'bosch','xgboost-lossguide','leaves',6,8,432.734955078125,0.728706666015,316,350,0.02,255,0,1,1,1
'bosch','xgboost-lossguide','leaves',7,8,696.367955078125,0.726142320225,324,325,0.02,511,0,1,1,1
'bosch','xgboost-lossguide','leaves',8,8,1110.317188964844,0.724379308734,300,300,0.02,1023,0,1,1,1
'bosch','xgboost-lossguide','leaves',9,8,1145.575540039062,0.709059997533,133,200,0.02,2047,0,1,1,1
'bosch','xgboost-lossguide','leaves',10,8,1529.493338378906,0.704370441753,125,200,0.02,4095,0,1,1,1
'bosch','xgboost-lossguide','depth',1,8,411.727927978516,0.714533349781,1920,2000,0.02,7,3,1,1,1
'bosch','xgboost-lossguide','depth',2,8,357.188334716797,0.719808083178,1425,1500,0.02,15,4,1,1,1
'bosch','xgboost-lossguide','depth',3,8,301.630614013672,0.721459230137,977,1000,0.02,31,5,1,1,1
'bosch','xgboost-lossguide','depth',4,8,280.782374023438,0.722383412570,723,800,0.02,63,6,1,1,1
'bosch','xgboost-lossguide','depth',5,8,236.759775878906,0.719151746500,399,500,0.02,127,7,1,1,1
'bosch','xgboost-lossguide','depth',6,8,250.927965087891,0.725021133410,328,400,0.02,255,8,1,1,1
'bosch','xgboost-lossguide','depth',7,8,308.546289062500,0.724839818030,391,400,0.02,511,9,1,1,1
'bosch','xgboost-lossguide','depth',8,8,373.119072753906,0.722888356243,308,400,0.02,1023,10,1,1,1
'bosch','xgboost-lossguide','depth',9,8,445.293704589844,0.727256205470,343,400,0.02,2047,11,1,1,1
'bosch','xgboost-lossguide','depth',10,8,530.821017822266,0.725654057671,338,400,0.02,4095,12,1,1,1
'bosch','xgboost-lossguide','hessian',1,8,372.679169921875,0.722888356243,308,400,0.02,1023,10,1,1,1
'bosch','xgboost-lossguide','hessian',2,8,283.859916259766,0.725059542169,325,400,0.02,1023,10,5,1,1
'bosch','xgboost-lossguide','hessian',3,8,224.844042968750,0.718156451878,308,400,0.02,1023,10,25,1,1
'bosch','xgboost-lossguide','hessian',4,8,189.017593994141,0.703630251594,282,400,0.02,1023,10,125,1,1
'bosch','xgboost-lossguide','sampling',1,8,247.762303955078,0.723430755617,684,750,0.04,63,6,1,1,1
'bosch','xgboost-lossguide','sampling',2,8,305.588775878906,0.722520767499,372,750,0.04,63,6,1,0.8,1
'bosch','xgboost-lossguide','sampling',3,8,287.537523925781,0.719379865882,297,750,0.04,63,6,1,0.6,1
'bosch','xgboost-lossguide','sampling',4,8,261.555491210937,0.720782556347,549,750,0.04,63,6,1,0.4,1
'bosch','xgboost-depthwise','depth',1,8,420.156900390625,0.713453373611,1999,2000,0.02,7,3,1,1,1
'bosch','xgboost-depthwise','depth',2,8,363.024053955078,0.719907258498,1402,1500,0.02,15,4,1,1,1
'bosch','xgboost-depthwise','depth',3,8,291.691031005859,0.719897626363,955,1000,0.02,31,5,1,1,1
'bosch','xgboost-depthwise','depth',4,8,635.718342773437,0.722383412570,723,800,0.02,63,6,1,1,1
'bosch','xgboost-depthwise','depth',5,8,237.377211181641,0.719151746500,399,500,0.02,127,7,1,1,1
'bosch','xgboost-depthwise','depth',6,8,254.867006591797,0.725021133410,328,400,0.02,255,8,1,1,1
'bosch','xgboost-depthwise','depth',7,8,321.920354980469,0.724839818030,391,400,0.02,511,9,1,1,1
'bosch','xgboost-depthwise','depth',8,8,376.920541992188,0.722888356243,308,400,0.02,1023,10,1,1,1
'bosch','xgboost-depthwise','depth',9,8,451.088306884766,0.727256205470,343,400,0.02,2047,11,1,1,1
'bosch','xgboost-depthwise','depth',10,8,516.707392822266,0.725654057671,338,400,0.02,4095,12,1,1,1
'bosch','xgboost-depthwise','hessian',1,8,370.727535888672,0.722888356243,308,400,0.02,1023,10,1,1,1
'bosch','xgboost-depthwise','hessian',2,8,283.898365722656,0.725059542169,325,400,0.02,1023,10,5,1,1
'bosch','xgboost-depthwise','hessian',3,8,223.052287841797,0.718156451878,308,400,0.02,1023,10,25,1,1
'bosch','xgboost-depthwise','hessian',4,8,195.473455078125,0.703630251594,282,400,0.02,1023,10,125,1,1
'bosch','xgboost-depthwise','sampling',1,8,245.268125000000,0.723430755617,684,750,0.04,63,6,1,1,1
'bosch','xgboost-depthwise','sampling',2,8,298.464476318359,0.722520767499,372,750,0.04,63,6,1,0.8,1
'bosch','xgboost-depthwise','sampling',3,8,281.399522705078,0.719379865882,297,750,0.04,63,6,1,0.6,1
'bosch','xgboost-depthwise','sampling',4,8,255.658044921875,0.720782556347,549,750,0.04,63,6,1,0.4,1
'bosch','xgboost-lossguide','leaves',1,7,395.718639892578,0.712459216929,1995,2000,0.02,7,0,1,1,1
'bosch','xgboost-lossguide','leaves',2,7,367.502927001953,0.721185332723,1462,1500,0.02,15,0,1,1,1
'bosch','xgboost-lossguide','leaves',3,7,241.403606933594,0.723785790557,426,750,0.02,31,0,1,1,1
'bosch','xgboost-lossguide','leaves',4,7,234.577947021484,0.726102716238,405,500,0.02,63,0,1,1,1
'bosch','xgboost-lossguide','leaves',5,7,293.361352050781,0.728068437439,314,400,0.02,127,0,1,1,1
'bosch','xgboost-lossguide','leaves',6,7,412.275072021484,0.728706666015,316,350,0.02,255,0,1,1,1
'bosch','xgboost-lossguide','leaves',7,7,675.835760253906,0.726142320225,324,325,0.02,511,0,1,1,1
'bosch','xgboost-lossguide','leaves',8,7,1058.159490966797,0.724379308734,300,300,0.02,1023,0,1,1,1
'bosch','xgboost-lossguide','leaves',9,7,1107.416576171875,0.709059997533,133,200,0.02,2047,0,1,1,1
'bosch','xgboost-lossguide','leaves',10,7,1434.272506835938,0.704370441753,125,200,0.02,4095,0,1,1,1
