Dataset,Algorithm,Type,Run,Threads,Time,Metric,Best Iteration,Iterations,Eta,Leaves,Depth,Hessian,Subsample,Colsample_bytree
'bosch','xgboost-lossguide','depth',3,5,432.407539062500,0.721459230137,977,1000,0.02,31,5,1,1,1
'bosch','xgboost-lossguide','depth',4,5,420.713193847656,0.722383412570,723,800,0.02,63,6,1,1,1
'bosch','xgboost-lossguide','depth',5,5,350.334876220703,0.719151746500,399,500,0.02,127,7,1,1,1
'bosch','xgboost-lossguide','depth',6,5,359.259419921875,0.725021133410,328,400,0.02,255,8,1,1,1
'bosch','xgboost-lossguide','depth',7,5,433.284907958984,0.724839818030,391,400,0.02,511,9,1,1,1
'bosch','xgboost-lossguide','depth',8,5,515.907977783203,0.722888356243,308,400,0.02,1023,10,1,1,1
'bosch','xgboost-lossguide','depth',9,5,608.001316894531,0.727256205470,343,400,0.02,2047,11,1,1,1
'bosch','xgboost-lossguide','depth',10,5,705.421341064453,0.725654057671,338,400,0.02,4095,12,1,1,1
'bosch','xgboost-lossguide','hessian',1,5,507.796229980469,0.722888356243,308,400,0.02,1023,10,1,1,1
'bosch','xgboost-lossguide','hessian',2,5,401.313156005859,0.725059542169,325,400,0.02,1023,10,5,1,1
'bosch','xgboost-lossguide','hessian',3,5,330.671849121094,0.718156451878,308,400,0.02,1023,10,25,1,1
'bosch','xgboost-lossguide','hessian',4,5,297.343059814453,0.703630251594,282,400,0.02,1023,10,125,1,1
'bosch','xgboost-lossguide','sampling',1,5,381.887473144531,0.723430755617,684,750,0.04,63,6,1,1,1
'bosch','xgboost-lossguide','sampling',2,5,481.777953857422,0.722520767499,372,750,0.04,63,6,1,0.8,1
'bosch','xgboost-lossguide','sampling',3,5,456.888744140625,0.719379865882,297,750,0.04,63,6,1,0.6,1
'bosch','xgboost-lossguide','sampling',4,5,411.984278076172,0.720782556347,549,750,0.04,63,6,1,0.4,1
'bosch','xgboost-depthwise','depth',1,5,648.835013183594,0.713453373611,1999,2000,0.02,7,3,1,1,1
'bosch','xgboost-depthwise','depth',2,5,555.124267822266,0.719907258498,1402,1500,0.02,15,4,1,1,1
'bosch','xgboost-depthwise','depth',3,5,448.563632080078,0.719897626363,955,1000,0.02,31,5,1,1,1
'bosch','xgboost-depthwise','depth',4,5,448.968086914062,0.722383412570,723,800,0.02,63,6,1,1,1
'bosch','xgboost-depthwise','depth',5,5,368.668632812500,0.719151746500,399,500,0.02,127,7,1,1,1
'bosch','xgboost-depthwise','depth',6,5,390.575563720703,0.725021133410,328,400,0.02,255,8,1,1,1
'bosch','xgboost-depthwise','depth',7,5,462.799920166016,0.724839818030,391,400,0.02,511,9,1,1,1
'bosch','xgboost-depthwise','depth',8,5,559.300585205078,0.722888356243,308,400,0.02,1023,10,1,1,1
'bosch','xgboost-depthwise','depth',9,5,643.002420898438,0.727256205470,343,400,0.02,2047,11,1,1,1
'bosch','xgboost-depthwise','depth',10,5,756.031809326172,0.725654057671,338,400,0.02,4095,12,1,1,1
'bosch','xgboost-depthwise','hessian',1,5,552.489953125000,0.722888356243,308,400,0.02,1023,10,1,1,1
'bosch','xgboost-depthwise','hessian',2,5,433.663126220703,0.725059542169,325,400,0.02,1023,10,5,1,1
'bosch','xgboost-depthwise','hessian',3,5,354.858041015625,0.718156451878,308,400,0.02,1023,10,25,1,1
'bosch','xgboost-depthwise','hessian',4,5,313.286807128906,0.703630251594,282,400,0.02,1023,10,125,1,1
'bosch','xgboost-depthwise','sampling',1,5,367.158774169922,0.723430755617,684,750,0.04,63,6,1,1,1
'bosch','xgboost-depthwise','sampling',2,5,479.113688964844,0.722520767499,372,750,0.04,63,6,1,0.8,1
'bosch','xgboost-depthwise','sampling',3,5,459.021255126953,0.719379865882,297,750,0.04,63,6,1,0.6,1
'bosch','xgboost-depthwise','sampling',4,5,412.624925292969,0.720782556347,549,750,0.04,63,6,1,0.4,1
'bosch','xgboost-lossguide','leaves',1,4,717.680006103516,0.712459216929,1995,2000,0.02,7,0,1,1,1
'bosch','xgboost-lossguide','leaves',2,4,630.609252929688,0.721185332723,1462,1500,0.02,15,0,1,1,1
'bosch','xgboost-lossguide','leaves',3,4,420.159250000000,0.723785790557,426,750,0.02,31,0,1,1,1
'bosch','xgboost-lossguide','leaves',4,4,393.842375000000,0.726102716238,405,500,0.02,63,0,1,1,1
'bosch','xgboost-lossguide','leaves',5,4,456.101158203125,0.728068437439,314,400,0.02,127,0,1,1,1
'bosch','xgboost-lossguide','leaves',6,4,621.106269287109,0.728706666015,316,350,0.02,255,0,1,1,1
'bosch','xgboost-lossguide','leaves',7,4,955.393627929687,0.726142320225,324,325,0.02,511,0,1,1,1
'bosch','xgboost-lossguide','leaves',8,4,1472.438827148437,0.724379308734,300,300,0.02,1023,0,1,1,1
'bosch','xgboost-lossguide','leaves',9,4,1580.465618896484,0.709059997533,133,200,0.02,2047,0,1,1,1
'bosch','xgboost-lossguide','leaves',10,4,2050.156104980469,0.704370441753,125,200,0.02,4095,0,1,1,1
'bosch','xgboost-lossguide','depth',1,4,728.794328125000,0.714533349781,1920,2000,0.02,7,3,1,1,1
'bosch','xgboost-lossguide','depth',2,4,606.897926025391,0.719808083178,1425,1500,0.02,15,4,1,1,1
'bosch','xgboost-lossguide','depth',3,4,488.452906982422,0.721459230137,977,1000,0.02,31,5,1,1,1
'bosch','xgboost-lossguide','depth',4,4,465.844971191406,0.722383412570,723,800,0.02,63,6,1,1,1
'bosch','xgboost-lossguide','depth',5,4,379.518114990234,0.719151746500,399,500,0.02,127,7,1,1,1
'bosch','xgboost-lossguide','depth',6,4,383.518093261719,0.725021133410,328,400,0.02,255,8,1,1,1
'bosch','xgboost-lossguide','depth',7,4,458.394915039062,0.724839818030,391,400,0.02,511,9,1,1,1
'bosch','xgboost-lossguide','depth',8,4,538.910495849609,0.722888356243,308,400,0.02,1023,10,1,1,1
'bosch','xgboost-lossguide','depth',9,4,626.436797119141,0.727256205470,343,400,0.02,2047,11,1,1,1
'bosch','xgboost-lossguide','depth',10,4,736.001123046875,0.725654057671,338,400,0.02,4095,12,1,1,1
'bosch','xgboost-lossguide','hessian',1,4,551.303097900391,0.722888356243,308,400,0.02,1023,10,1,1,1
'bosch','xgboost-lossguide','hessian',2,4,452.334977294922,0.725059542169,325,400,0.02,1023,10,5,1,1
'bosch','xgboost-lossguide','hessian',3,4,375.942518798828,0.718156451878,308,400,0.02,1023,10,25,1,1
'bosch','xgboost-lossguide','hessian',4,4,332.001786865234,0.703630251594,282,400,0.02,1023,10,125,1,1
'bosch','xgboost-lossguide','sampling',1,4,400.969033203125,0.723430755617,684,750,0.04,63,6,1,1,1
'bosch','xgboost-lossguide','sampling',2,4,520.377383056641,0.722520767499,372,750,0.04,63,6,1,0.8,1
'bosch','xgboost-lossguide','sampling',3,4,491.843761962891,0.719379865882,297,750,0.04,63,6,1,0.6,1
'bosch','xgboost-lossguide','sampling',4,4,448.543020019531,0.720782556347,549,750,0.04,63,6,1,0.4,1
'bosch','xgboost-depthwise','depth',1,4,737.174445068359,0.713453373611,1999,2000,0.02,7,3,1,1,1
'bosch','xgboost-depthwise','depth',2,4,616.778657958984,0.719907258498,1402,1500,0.02,15,4,1,1,1
'bosch','xgboost-depthwise','depth',3,4,491.783748046875,0.719897626363,955,1000,0.02,31,5,1,1,1
'bosch','xgboost-depthwise','depth',4,4,471.684259033203,0.722383412570,723,800,0.02,63,6,1,1,1
'bosch','xgboost-depthwise','depth',5,4,388.871865722656,0.719151746500,399,500,0.02,127,7,1,1,1
'bosch','xgboost-depthwise','depth',6,4,392.333721191406,0.725021133410,328,400,0.02,255,8,1,1,1
'bosch','xgboost-depthwise','depth',7,4,460.484906738281,0.724839818030,391,400,0.02,511,9,1,1,1
'bosch','xgboost-depthwise','depth',8,4,554.006127929688,0.722888356243,308,400,0.02,1023,10,1,1,1
'bosch','xgboost-depthwise','depth',9,4,669.779362792969,0.727256205470,343,400,0.02,2047,11,1,1,1
'bosch','xgboost-depthwise','depth',10,4,773.271291015625,0.725654057671,338,400,0.02,4095,12,1,1,1
'bosch','xgboost-depthwise','hessian',1,4,551.560046142578,0.722888356243,308,400,0.02,1023,10,1,1,1
'bosch','xgboost-depthwise','hessian',2,4,450.878691162109,0.725059542169,325,400,0.02,1023,10,5,1,1
'bosch','xgboost-depthwise','hessian',3,4,382.717530029297,0.718156451878,308,400,0.02,1023,10,25,1,1
'bosch','xgboost-depthwise','hessian',4,4,338.614752929687,0.703630251594,282,400,0.02,1023,10,125,1,1
'bosch','xgboost-depthwise','sampling',1,4,402.388751953125,0.723430755617,684,750,0.04,63,6,1,1,1
'bosch','xgboost-depthwise','sampling',2,4,517.388797607422,0.722520767499,372,750,0.04,63,6,1,0.8,1
'bosch','xgboost-depthwise','sampling',3,4,483.533706787109,0.719379865882,297,750,0.04,63,6,1,0.6,1
'bosch','xgboost-depthwise','sampling',4,4,434.711887695312,0.720782556347,549,750,0.04,63,6,1,0.4,1
'bosch','xgboost-lossguide','leaves',1,3,822.965605224609,0.712459216929,1995,2000,0.02,7,0,1,1,1
'bosch','xgboost-lossguide','leaves',2,3,705.721280273438,0.721185332723,1462,1500,0.02,15,0,1,1,1
'bosch','xgboost-lossguide','leaves',3,3,458.844261718750,0.723785790557,426,750,0.02,31,0,1,1,1
'bosch','xgboost-lossguide','leaves',4,3,408.513754882813,0.726102716238,405,500,0.02,63,0,1,1,1
'bosch','xgboost-lossguide','leaves',5,3,458.634297119141,0.728068437439,314,400,0.02,127,0,1,1,1
'bosch','xgboost-lossguide','leaves',6,3,606.451955078125,0.728706666015,316,350,0.02,255,0,1,1,1
'bosch','xgboost-lossguide','leaves',7,3,901.206214843750,0.726142320225,324,325,0.02,511,0,1,1,1
'bosch','xgboost-lossguide','leaves',8,3,1372.933710205078,0.724379308734,300,300,0.02,1023,0,1,1,1
'bosch','xgboost-lossguide','leaves',9,3,1388.813155273438,0.709059997533,133,200,0.02,2047,0,1,1,1
'bosch','xgboost-lossguide','leaves',10,3,1812.529381103516,0.704370441753,125,200,0.02,4095,0,1,1,1
'bosch','xgboost-lossguide','depth',1,3,819.224996826172,0.714533349781,1920,2000,0.02,7,3,1,1,1
'bosch','xgboost-lossguide','depth',2,3,680.135220947266,0.719808083178,1425,1500,0.02,15,4,1,1,1
'bosch','xgboost-lossguide','depth',3,3,536.730532226562,0.721459230137,977,1000,0.02,31,5,1,1,1
'bosch','xgboost-lossguide','depth',4,3,501.686221923828,0.722383412570,723,800,0.02,63,6,1,1,1
'bosch','xgboost-lossguide','depth',5,3,400.846229003906,0.719151746500,399,500,0.02,127,7,1,1,1
'bosch','xgboost-lossguide','depth',6,3,399.439290039062,0.725021133410,328,400,0.02,255,8,1,1,1
'bosch','xgboost-lossguide','depth',7,3,465.027543457031,0.724839818030,391,400,0.02,511,9,1,1,1
